Waste_Type,Material,Toxicity,Recyclable,Energy_Recovery,City
Plastic,PVC,High,No,Medium,Rajkot
Paper,Cardboard,Medium,No,Low,Ahmedabad
Organic,Garden Waste,Low,Yes,High,Jamnagar
Paper,Cardboard,Low,No,Medium,Ahmedabad
Metal,Steel,Medium,No,Medium,Jamnagar
Plastic,PET,High,Yes,Medium,Rajkot
E-Waste,Circuit Board,High,No,Medium,Surat
Paper,Office Paper,Medium,Yes,Medium,Gandhinagar
Paper,Office Paper,High,No,High,Rajkot
Plastic,HDPE,Low,Yes,Medium,Surat
Paper,Office Paper,High,No,Medium,Jamnagar
Metal,Aluminium,Low,No,Medium,Jamnagar
Plastic,HDPE,Medium,Yes,Medium,Jamnagar
Paper,Newspaper,Medium,No,Medium,Bhavnagar
Metal,Iron,Low,No,Low,Jamnagar
Organic,Food Waste,Low,Yes,High,Surat
Plastic,PET,Low,No,Low,Vadodara
Paper,Newspaper,High,No,Medium,Rajkot
Plastic,HDPE,Medium,No,Medium,Vadodara
Plastic,HDPE,High,Yes,Medium,Surat
Organic,Food Waste,Medium,No,Medium,Jamnagar
E-Waste,Circuit Board,High,Yes,Medium,Surat
Metal,Iron,Medium,No,Low,Surat
E-Waste,Battery,Medium,Yes,Medium,Rajkot
Paper,Newspaper,High,Yes,Low,Ahmedabad
Paper,Newspaper,High,Yes,High,Rajkot
Metal,Aluminium,High,Yes,Low,Gandhinagar
Metal,Iron,High,No,High,Gandhinagar
E-Waste,Battery,Low,No,Medium,Vadodara
E-Waste,Battery,Medium,No,High,Bhavnagar
Organic,Biodegradable,Medium,Yes,High,Bhavnagar
Plastic,HDPE,Low,No,Low,Ahmedabad
Metal,Aluminium,Low,Yes,Medium,Bhavnagar
Paper,Office Paper,High,Yes,High,Surat
E-Waste,Battery,Low,No,Low,Gandhinagar
Plastic,PET,High,Yes,Low,Gandhinagar
Plastic,PVC,Low,No,Medium,Gandhinagar
Organic,Garden Waste,Low,Yes,High,Gandhinagar
Metal,Steel,Low,No,Medium,Rajkot
E-Waste,Wires,Low,No,High,Bhavnagar
Paper,Newspaper,High,Yes,High,Surat
Organic,Biodegradable,Medium,No,High,Surat
Organic,Garden Waste,Medium,Yes,Medium,Gandhinagar
Plastic,PET,High,No,Medium,Gandhinagar
Organic,Garden Waste,High,No,Low,Surat
E-Waste,Wires,Medium,Yes,Low,Bhavnagar
Paper,Office Paper,Medium,Yes,Low,Rajkot
Metal,Iron,Medium,No,Medium,Bhavnagar
Plastic,PVC,Low,Yes,Low,Jamnagar
E-Waste,Battery,Low,No,Medium,Rajkot
Metal,Steel,Medium,Yes,High,Ahmedabad
Metal,Steel,High,Yes,Low,Vadodara
Plastic,PET,Medium,Yes,Low,Jamnagar
Plastic,HDPE,Low,No,Low,Gandhinagar
Paper,Newspaper,Medium,No,High,Bhavnagar
Organic,Garden Waste,High,Yes,Low,Surat
Plastic,PET,High,No,Low,Jamnagar
Paper,Cardboard,Medium,No,Low,Surat
Paper,Newspaper,Low,Yes,High,Rajkot
E-Waste,Battery,Low,Yes,Medium,Ahmedabad
Metal,Iron,High,Yes,Low,Rajkot
Paper,Office Paper,Low,No,High,Gandhinagar
Plastic,PET,High,No,Medium,Ahmedabad
E-Waste,Wires,High,Yes,Low,Ahmedabad
Paper,Office Paper,High,Yes,Low,Jamnagar
Metal,Steel,High,Yes,Low,Rajkot
E-Waste,Wires,Low,No,Medium,Gandhinagar
Metal,Steel,Low,No,Medium,Gandhinagar
Paper,Cardboard,Medium,Yes,High,Surat
Organic,Garden Waste,High,Yes,High,Ahmedabad
E-Waste,Circuit Board,High,No,Low,Ahmedabad
Plastic,HDPE,Low,Yes,High,Ahmedabad
Plastic,PET,Low,No,High,Rajkot
E-Waste,Circuit Board,High,Yes,Low,Rajkot
E-Waste,Wires,Low,No,Low,Ahmedabad
Paper,Office Paper,High,Yes,High,Vadodara
Plastic,HDPE,Medium,No,Medium,Vadodara
Metal,Aluminium,High,Yes,High,Gandhinagar
E-Waste,Battery,Low,No,Medium,Surat
Metal,Aluminium,High,Yes,Low,Ahmedabad
Organic,Food Waste,High,No,High,Bhavnagar
Organic,Garden Waste,Medium,No,Low,Surat
Metal,Iron,Low,No,High,Jamnagar
Organic,Food Waste,Low,Yes,Medium,Bhavnagar
Metal,Steel,High,Yes,Low,Ahmedabad
Organic,Garden Waste,High,Yes,Medium,Surat
Paper,Office Paper,Low,No,High,Jamnagar
Organic,Biodegradable,Low,Yes,High,Bhavnagar
E-Waste,Battery,Low,No,High,Surat
Organic,Garden Waste,Low,Yes,Low,Vadodara
Organic,Garden Waste,Medium,No,High,Jamnagar
Organic,Garden Waste,Low,Yes,Low,Gandhinagar
E-Waste,Circuit Board,Low,Yes,Low,Bhavnagar
E-Waste,Battery,Low,No,Low,Gandhinagar
Metal,Iron,High,Yes,Medium,Vadodara
Plastic,PVC,High,Yes,High,Vadodara
Paper,Cardboard,Medium,No,Medium,Rajkot
Organic,Garden Waste,Low,No,Low,Ahmedabad
Organic,Food Waste,Low,No,Medium,Rajkot
Organic,Food Waste,High,Yes,Low,Bhavnagar
Paper,Newspaper,Medium,No,High,Ahmedabad
E-Waste,Wires,Low,Yes,Medium,Rajkot
Organic,Biodegradable,Medium,Yes,Low,Surat
Plastic,PVC,Medium,Yes,Medium,Vadodara
Metal,Steel,High,Yes,Low,Gandhinagar
Organic,Garden Waste,High,Yes,High,Bhavnagar
Plastic,PVC,Low,Yes,High,Surat
E-Waste,Wires,Medium,Yes,Low,Surat
Paper,Office Paper,Low,No,High,Gandhinagar
Metal,Aluminium,High,Yes,High,Rajkot
Organic,Food Waste,Low,No,Low,Surat
Organic,Garden Waste,Medium,Yes,Medium,Vadodara
E-Waste,Battery,Medium,Yes,High,Gandhinagar
E-Waste,Battery,High,No,High,Surat
Paper,Newspaper,Medium,Yes,Medium,Vadodara
Plastic,PET,High,No,Medium,Surat
Organic,Biodegradable,Medium,Yes,Low,Rajkot
Paper,Newspaper,Medium,Yes,Medium,Rajkot
Organic,Biodegradable,Medium,Yes,High,Vadodara
E-Waste,Circuit Board,Medium,No,High,Rajkot
Organic,Food Waste,High,No,Low,Jamnagar
Paper,Office Paper,High,Yes,Medium,Ahmedabad
Metal,Aluminium,High,Yes,High,Gandhinagar
Plastic,PET,Medium,Yes,High,Surat
Organic,Food Waste,High,Yes,Medium,Surat
Plastic,HDPE,High,No,High,Ahmedabad
Plastic,HDPE,Low,Yes,High,Vadodara
Paper,Office Paper,High,No,High,Rajkot
Plastic,PET,Low,No,High,Jamnagar
Organic,Food Waste,High,No,Medium,Gandhinagar
Organic,Food Waste,Low,No,High,Surat
Metal,Steel,High,No,High,Vadodara
Organic,Garden Waste,Medium,No,High,Ahmedabad
Organic,Biodegradable,High,No,High,Jamnagar
Paper,Cardboard,High,No,High,Jamnagar
Plastic,PVC,Low,Yes,High,Jamnagar
Plastic,HDPE,Low,No,Medium,Bhavnagar
E-Waste,Battery,Medium,No,Medium,Vadodara
Paper,Cardboard,Medium,No,High,Ahmedabad
Plastic,PET,High,Yes,Medium,Bhavnagar
Paper,Newspaper,Low,Yes,Medium,Jamnagar
Metal,Iron,Low,Yes,Low,Bhavnagar
Organic,Biodegradable,Low,Yes,Medium,Jamnagar
Plastic,PET,High,Yes,Medium,Rajkot
Organic,Biodegradable,Low,No,Low,Bhavnagar
Metal,Steel,Low,Yes,Medium,Rajkot
Organic,Biodegradable,High,No,Medium,Ahmedabad
Paper,Office Paper,Low,No,Medium,Gandhinagar
Plastic,HDPE,Medium,Yes,Medium,Bhavnagar
Paper,Cardboard,Low,No,Medium,Gandhinagar
E-Waste,Circuit Board,High,No,Medium,Surat
Organic,Food Waste,Medium,No,Medium,Vadodara
Organic,Biodegradable,Low,No,High,Vadodara
Plastic,PVC,Low,Yes,Low,Ahmedabad
E-Waste,Circuit Board,High,No,High,Vadodara
E-Waste,Wires,High,Yes,Medium,Rajkot
Metal,Steel,Low,No,Medium,Jamnagar
E-Waste,Wires,High,No,Low,Gandhinagar
Metal,Aluminium,Medium,Yes,Low,Rajkot
E-Waste,Wires,High,Yes,Medium,Bhavnagar
Organic,Biodegradable,Low,No,Medium,Jamnagar
E-Waste,Circuit Board,High,Yes,High,Jamnagar
Metal,Steel,High,Yes,High,Surat
Paper,Cardboard,High,No,Low,Bhavnagar
E-Waste,Wires,Medium,Yes,Medium,Ahmedabad
Organic,Biodegradable,High,Yes,Medium,Vadodara
Paper,Office Paper,High,Yes,Low,Bhavnagar
Organic,Biodegradable,Medium,Yes,Low,Rajkot
Plastic,PET,Medium,Yes,Medium,Rajkot
Plastic,PVC,High,No,Medium,Rajkot
Plastic,PET,Medium,No,High,Rajkot
Paper,Cardboard,Low,No,Low,Ahmedabad
Paper,Office Paper,Medium,Yes,Low,Vadodara
Metal,Aluminium,High,Yes,High,Rajkot
Metal,Iron,Low,Yes,High,Vadodara
Paper,Office Paper,Low,No,Low,Gandhinagar
Organic,Food Waste,High,Yes,Low,Bhavnagar
Paper,Cardboard,Medium,Yes,Low,Ahmedabad
Organic,Food Waste,High,Yes,Medium,Gandhinagar
Metal,Iron,Low,Yes,High,Rajkot
Paper,Cardboard,Low,Yes,Medium,Gandhinagar
Metal,Iron,High,Yes,Medium,Rajkot
Plastic,PET,Medium,No,Medium,Vadodara
Plastic,PVC,Low,No,High,Rajkot
Organic,Garden Waste,Low,No,Medium,Vadodara
Paper,Office Paper,Low,Yes,High,Rajkot
Paper,Newspaper,Low,Yes,Medium,Ahmedabad
E-Waste,Battery,Low,Yes,Medium,Surat
Metal,Steel,Low,Yes,High,Rajkot
Plastic,PET,High,Yes,Low,Jamnagar
E-Waste,Circuit Board,High,No,High,Surat
Plastic,PET,Medium,Yes,Medium,Surat
Metal,Aluminium,Low,No,Low,Vadodara
Organic,Food Waste,High,No,Low,Rajkot
Organic,Food Waste,Medium,No,Low,Surat
Metal,Steel,Medium,Yes,Medium,Gandhinagar
Organic,Food Waste,High,Yes,High,Jamnagar
Organic,Food Waste,Low,Yes,Low,Vadodara
Paper,Newspaper,Medium,Yes,Medium,Vadodara
Organic,Biodegradable,Low,Yes,Low,Rajkot
E-Waste,Battery,Medium,No,High,Bhavnagar
Plastic,PVC,High,Yes,Medium,Surat
Paper,Office Paper,Low,No,Medium,Surat
Metal,Steel,High,No,Low,Surat
Organic,Biodegradable,High,Yes,High,Jamnagar
Metal,Steel,Medium,No,Medium,Ahmedabad
Organic,Garden Waste,Medium,No,Medium,Jamnagar
Plastic,HDPE,Medium,No,High,Rajkot
Plastic,PET,High,Yes,Low,Bhavnagar
Paper,Office Paper,Medium,No,Low,Gandhinagar
Metal,Steel,Medium,No,High,Surat
Plastic,PET,Low,No,High,Surat
Paper,Cardboard,Medium,Yes,High,Rajkot
E-Waste,Wires,High,No,Medium,Vadodara
E-Waste,Circuit Board,High,Yes,High,Vadodara
Organic,Biodegradable,Low,No,Medium,Bhavnagar
Metal,Aluminium,Medium,No,Medium,Jamnagar
Organic,Food Waste,Low,Yes,High,Bhavnagar
Organic,Garden Waste,Medium,Yes,Low,Gandhinagar
E-Waste,Battery,High,No,Medium,Jamnagar
Paper,Office Paper,High,Yes,High,Bhavnagar
Paper,Newspaper,Medium,Yes,Medium,Ahmedabad
Metal,Steel,Medium,Yes,Low,Vadodara
Plastic,PET,Medium,Yes,Low,Ahmedabad
Paper,Cardboard,Low,Yes,Medium,Rajkot
Plastic,PVC,Low,Yes,High,Jamnagar
Metal,Iron,High,Yes,Medium,Gandhinagar
Plastic,PVC,Medium,Yes,High,Jamnagar
Plastic,PET,Low,No,Medium,Gandhinagar
Organic,Biodegradable,High,Yes,High,Gandhinagar
Metal,Aluminium,Medium,Yes,Medium,Ahmedabad
Metal,Steel,Medium,Yes,High,Jamnagar
Organic,Garden Waste,High,No,Medium,Jamnagar
Metal,Aluminium,High,No,High,Jamnagar
Organic,Garden Waste,Low,Yes,Medium,Surat
Paper,Office Paper,Low,Yes,Low,Vadodara
E-Waste,Circuit Board,Low,No,Low,Jamnagar
Organic,Garden Waste,High,No,Medium,Gandhinagar
Organic,Biodegradable,Low,No,Low,Jamnagar
Plastic,HDPE,High,No,Medium,Vadodara
Plastic,HDPE,Medium,Yes,Medium,Vadodara
Organic,Biodegradable,Medium,No,High,Bhavnagar
Metal,Aluminium,Low,No,High,Bhavnagar
Plastic,HDPE,High,No,Low,Jamnagar
E-Waste,Circuit Board,High,No,Low,Gandhinagar
E-Waste,Wires,High,No,Medium,Vadodara
Metal,Aluminium,Medium,Yes,Medium,Vadodara
Metal,Aluminium,High,No,High,Jamnagar
E-Waste,Wires,High,No,Medium,Vadodara
Metal,Iron,High,Yes,Medium,Jamnagar
E-Waste,Wires,Medium,Yes,High,Bhavnagar
Metal,Iron,Low,Yes,High,Vadodara
Metal,Iron,High,No,High,Bhavnagar
Metal,Aluminium,Medium,No,Medium,Ahmedabad
Paper,Office Paper,Low,Yes,High,Vadodara
Metal,Iron,Low,Yes,High,Bhavnagar
Organic,Food Waste,Medium,No,Low,Jamnagar
E-Waste,Wires,High,No,High,Surat
E-Waste,Battery,Medium,No,High,Rajkot
Plastic,PVC,High,No,High,Gandhinagar
Metal,Iron,Low,No,High,Gandhinagar
Paper,Newspaper,Medium,No,Medium,Bhavnagar
Organic,Garden Waste,High,Yes,High,Rajkot
Metal,Steel,Low,No,Low,Rajkot
E-Waste,Circuit Board,Medium,Yes,High,Vadodara
Paper,Newspaper,Low,Yes,Medium,Surat
Plastic,HDPE,Medium,No,Medium,Surat
Metal,Iron,Low,Yes,Medium,Surat
Organic,Biodegradable,Medium,No,High,Bhavnagar
Metal,Aluminium,Low,No,High,Jamnagar
E-Waste,Wires,High,No,Medium,Vadodara
Metal,Aluminium,Low,Yes,Low,Surat
Organic,Garden Waste,High,Yes,Medium,Vadodara
Organic,Food Waste,Low,No,Medium,Rajkot
Paper,Office Paper,High,Yes,Medium,Gandhinagar
Organic,Food Waste,Medium,No,High,Gandhinagar
Organic,Biodegradable,Low,Yes,High,Jamnagar
Paper,Cardboard,Medium,Yes,Medium,Bhavnagar
Plastic,PET,High,No,High,Bhavnagar
E-Waste,Wires,Medium,Yes,High,Surat
Plastic,PET,High,Yes,Medium,Jamnagar
E-Waste,Battery,Low,Yes,High,Vadodara
Paper,Office Paper,High,No,High,Surat
E-Waste,Wires,High,Yes,High,Bhavnagar
E-Waste,Wires,Medium,No,Medium,Gandhinagar
Plastic,PVC,High,No,Low,Jamnagar
Paper,Office Paper,High,No,Low,Vadodara
Metal,Iron,High,No,High,Bhavnagar
E-Waste,Wires,High,Yes,Low,Surat
E-Waste,Circuit Board,High,Yes,Medium,Surat
Metal,Iron,Medium,No,Medium,Ahmedabad
Plastic,PVC,Low,Yes,Low,Gandhinagar
E-Waste,Circuit Board,Low,Yes,Low,Rajkot
Paper,Cardboard,Medium,Yes,High,Bhavnagar
E-Waste,Wires,High,Yes,High,Jamnagar
E-Waste,Wires,Low,Yes,High,Ahmedabad
Organic,Garden Waste,Low,Yes,Low,Vadodara
Paper,Newspaper,High,No,Medium,Gandhinagar
Metal,Steel,High,Yes,High,Vadodara
Plastic,PET,Low,No,Low,Surat
Organic,Food Waste,Low,No,Low,Rajkot
Plastic,PVC,Medium,No,Medium,Surat
Organic,Biodegradable,Medium,No,High,Gandhinagar
E-Waste,Battery,Medium,No,High,Rajkot
E-Waste,Circuit Board,Low,Yes,Medium,Ahmedabad
Paper,Office Paper,Medium,Yes,High,Jamnagar
Metal,Steel,Medium,Yes,Low,Rajkot
Metal,Steel,High,No,Medium,Rajkot
E-Waste,Battery,Low,No,Low,Ahmedabad
E-Waste,Wires,Low,No,High,Gandhinagar
E-Waste,Wires,High,Yes,Low,Vadodara
Metal,Aluminium,Medium,Yes,Low,Rajkot
Organic,Garden Waste,High,Yes,Low,Vadodara
Paper,Office Paper,Low,No,Low,Bhavnagar
Paper,Cardboard,High,No,High,Rajkot
Metal,Steel,Low,No,High,Bhavnagar
E-Waste,Battery,High,No,High,Bhavnagar
Plastic,HDPE,Low,No,Low,Surat
Organic,Garden Waste,Medium,Yes,High,Vadodara
Organic,Garden Waste,Medium,No,Low,Ahmedabad
Paper,Newspaper,High,Yes,Medium,Rajkot
Organic,Food Waste,Medium,No,Medium,Rajkot
Organic,Food Waste,High,No,Low,Vadodara
Organic,Garden Waste,Low,Yes,Medium,Jamnagar
Organic,Food Waste,Medium,Yes,Medium,Gandhinagar
Metal,Steel,Medium,Yes,Low,Jamnagar
Metal,Aluminium,Medium,Yes,High,Vadodara
E-Waste,Circuit Board,High,No,High,Rajkot
Plastic,PET,High,No,High,Vadodara
E-Waste,Wires,Low,Yes,High,Vadodara
Plastic,HDPE,High,Yes,Medium,Surat
Metal,Iron,Low,No,High,Ahmedabad
Metal,Steel,Medium,No,High,Bhavnagar
Metal,Iron,High,Yes,Medium,Vadodara
Metal,Aluminium,High,Yes,Medium,Rajkot
Metal,Aluminium,Medium,Yes,Medium,Jamnagar
Organic,Biodegradable,Medium,Yes,Low,Vadodara
Organic,Garden Waste,High,No,Low,Rajkot
Paper,Newspaper,Low,Yes,Medium,Bhavnagar
Metal,Iron,Low,Yes,High,Bhavnagar
E-Waste,Circuit Board,Low,No,Medium,Ahmedabad
Paper,Cardboard,High,Yes,High,Jamnagar
Organic,Garden Waste,High,Yes,Medium,Ahmedabad
Metal,Iron,Medium,Yes,Medium,Bhavnagar
Metal,Aluminium,Low,No,Low,Surat
Metal,Iron,High,Yes,Medium,Rajkot
Plastic,PVC,High,Yes,High,Surat
Plastic,PVC,High,No,Low,Jamnagar
Metal,Aluminium,High,No,Low,Rajkot
Plastic,HDPE,Medium,Yes,Low,Vadodara
Paper,Cardboard,High,No,Medium,Ahmedabad
Metal,Aluminium,High,No,Medium,Vadodara
Organic,Biodegradable,Low,Yes,High,Rajkot
Metal,Iron,Low,Yes,Medium,Bhavnagar
Paper,Cardboard,Low,No,Low,Surat
E-Waste,Battery,Medium,Yes,Medium,Surat
Metal,Steel,High,Yes,Low,Bhavnagar
Metal,Steel,Medium,No,Medium,Surat
Organic,Food Waste,Medium,No,Medium,Gandhinagar
Plastic,PVC,Low,No,High,Rajkot
Metal,Aluminium,Low,No,Medium,Vadodara
E-Waste,Circuit Board,High,No,Medium,Bhavnagar
E-Waste,Wires,Medium,Yes,Medium,Surat
Paper,Office Paper,High,Yes,High,Vadodara
E-Waste,Circuit Board,High,Yes,High,Jamnagar
Metal,Steel,Medium,Yes,Low,Rajkot
Metal,Iron,Medium,No,Medium,Gandhinagar
Paper,Office Paper,Low,No,High,Rajkot
E-Waste,Battery,Low,Yes,High,Vadodara
Plastic,HDPE,Medium,No,Medium,Surat
Paper,Cardboard,High,No,Medium,Rajkot
E-Waste,Wires,Low,No,Medium,Ahmedabad
Paper,Cardboard,High,No,High,Jamnagar
Metal,Steel,Low,No,High,Jamnagar
E-Waste,Battery,Medium,No,Medium,Surat
Paper,Newspaper,Medium,No,Medium,Vadodara
Organic,Food Waste,High,No,High,Surat
Plastic,PVC,Low,Yes,High,Ahmedabad
Paper,Office Paper,High,No,Low,Ahmedabad
Metal,Iron,Low,No,High,Gandhinagar
Metal,Iron,Low,No,Low,Jamnagar
Organic,Biodegradable,High,No,Medium,Ahmedabad
Paper,Office Paper,Low,No,High,Rajkot
Paper,Cardboard,High,No,Low,Gandhinagar
E-Waste,Wires,Medium,Yes,High,Jamnagar
Paper,Cardboard,High,No,High,Gandhinagar
Organic,Garden Waste,Medium,No,High,Jamnagar
Organic,Biodegradable,Low,Yes,High,Ahmedabad
Paper,Newspaper,Medium,No,High,Ahmedabad
Metal,Aluminium,High,Yes,Medium,Bhavnagar
Paper,Office Paper,High,Yes,High,Bhavnagar
E-Waste,Wires,High,No,Medium,Gandhinagar
Organic,Biodegradable,Low,Yes,Medium,Vadodara
E-Waste,Circuit Board,Medium,Yes,High,Vadodara
Organic,Garden Waste,Medium,Yes,Medium,Ahmedabad
Organic,Garden Waste,Medium,Yes,Low,Vadodara
Metal,Steel,Low,Yes,Low,Surat
Metal,Aluminium,Low,No,Medium,Jamnagar
E-Waste,Battery,Low,No,Low,Ahmedabad
E-Waste,Battery,Medium,Yes,Low,Rajkot
Organic,Garden Waste,Low,No,Medium,Ahmedabad
Paper,Office Paper,Medium,Yes,High,Ahmedabad
E-Waste,Battery,High,Yes,Medium,Vadodara
Metal,Steel,Medium,Yes,Medium,Gandhinagar
Plastic,HDPE,Medium,Yes,Low,Surat
Metal,Aluminium,Medium,Yes,High,Vadodara
Paper,Cardboard,High,No,High,Gandhinagar
E-Waste,Battery,Low,No,Medium,Rajkot
Organic,Biodegradable,Low,No,High,Bhavnagar
Plastic,PET,Low,Yes,Low,Rajkot
Plastic,PVC,Medium,Yes,Low,Rajkot
Metal,Steel,High,No,Low,Gandhinagar
E-Waste,Wires,Low,Yes,High,Ahmedabad
Plastic,HDPE,High,No,Medium,Ahmedabad
Metal,Iron,Medium,Yes,Low,Rajkot
Organic,Biodegradable,Medium,Yes,High,Vadodara
Metal,Iron,Low,Yes,Low,Surat
Plastic,HDPE,Medium,Yes,High,Surat
E-Waste,Circuit Board,Low,Yes,High,Rajkot
Plastic,HDPE,Medium,Yes,High,Ahmedabad
Organic,Garden Waste,Medium,Yes,Low,Vadodara
E-Waste,Wires,Medium,No,Medium,Surat
Plastic,HDPE,High,Yes,Medium,Jamnagar
Organic,Garden Waste,Low,Yes,Medium,Gandhinagar
Plastic,HDPE,High,No,High,Bhavnagar
Metal,Aluminium,Medium,No,Low,Rajkot
Organic,Biodegradable,High,Yes,Medium,Gandhinagar
Plastic,PVC,Medium,No,Low,Bhavnagar
Plastic,PET,High,No,High,Ahmedabad
E-Waste,Circuit Board,High,No,High,Rajkot
Organic,Biodegradable,Medium,No,Low,Gandhinagar
E-Waste,Wires,Low,Yes,Medium,Rajkot
Metal,Steel,Low,No,High,Rajkot
E-Waste,Circuit Board,High,No,Medium,Vadodara
E-Waste,Battery,High,No,Low,Jamnagar
Plastic,PET,Medium,No,Medium,Surat
Plastic,PVC,High,Yes,High,Gandhinagar
Metal,Iron,Low,Yes,Low,Jamnagar
E-Waste,Circuit Board,Medium,Yes,Low,Bhavnagar
E-Waste,Wires,Low,No,High,Gandhinagar
Organic,Food Waste,Low,Yes,Medium,Gandhinagar
Plastic,PET,Medium,No,Medium,Gandhinagar
Organic,Food Waste,Low,Yes,Low,Bhavnagar
Paper,Newspaper,Low,No,Medium,Gandhinagar
Organic,Biodegradable,Low,No,High,Surat
E-Waste,Battery,Medium,No,High,Jamnagar
Metal,Steel,Low,No,Medium,Jamnagar
Paper,Cardboard,Medium,Yes,High,Rajkot
Organic,Biodegradable,Low,No,High,Gandhinagar
Metal,Aluminium,High,Yes,Medium,Gandhinagar
E-Waste,Wires,Low,No,Low,Gandhinagar
Plastic,PET,Medium,No,Medium,Bhavnagar
Metal,Iron,High,No,Low,Vadodara
E-Waste,Wires,Low,No,High,Rajkot
Plastic,HDPE,Low,Yes,Low,Rajkot
Plastic,PVC,Low,Yes,Medium,Surat
E-Waste,Wires,High,No,High,Gandhinagar
E-Waste,Circuit Board,Medium,No,Low,Vadodara
Metal,Aluminium,High,No,Low,Bhavnagar
Paper,Cardboard,High,Yes,High,Bhavnagar
Organic,Food Waste,High,No,Medium,Bhavnagar
Metal,Aluminium,Low,No,Medium,Rajkot
Organic,Biodegradable,Medium,Yes,Medium,Ahmedabad
Paper,Office Paper,Low,Yes,Medium,Rajkot
Organic,Biodegradable,High,Yes,Medium,Surat
Plastic,PVC,High,No,Medium,Jamnagar
Plastic,PET,Medium,Yes,High,Rajkot
E-Waste,Wires,Low,No,High,Rajkot
Metal,Iron,Low,No,Medium,Rajkot
Paper,Newspaper,Low,Yes,Medium,Rajkot
Plastic,PVC,Low,No,High,Ahmedabad
E-Waste,Circuit Board,Medium,Yes,Low,Gandhinagar
Metal,Iron,Medium,Yes,Medium,Rajkot
E-Waste,Battery,Low,Yes,Medium,Surat
E-Waste,Wires,Low,Yes,Medium,Rajkot
Plastic,PVC,High,Yes,High,Bhavnagar
Paper,Newspaper,Medium,Yes,Low,Ahmedabad
Paper,Office Paper,High,Yes,Low,Bhavnagar
E-Waste,Battery,Low,No,Low,Vadodara
